symbol,announce_time,session,analyst_surprise,source
AAPL,2019-01-02 16:30:03,amc,,sec_8k_2.02
JPM,2019-01-15 06:46:00,bmo,,sec_8k_2.02
BAC,2019-01-16 06:46:08,bmo,,sec_8k_2.02
GS,2019-01-16 07:41:12,bmo,,sec_8k_2.02
JNJ,2019-01-22 08:00:43,bmo,,sec_8k_2.02
PG,2019-01-23 07:07:00,bmo,,sec_8k_2.02
INTC,2019-01-24 11:06:44,intraday,,sec_8k_2.02
NVDA,2019-01-28 09:04:54,bmo,,sec_8k_2.02
PFE,2019-01-29 08:49:45,bmo,,sec_8k_2.02
AAPL,2019-01-29 16:30:18,amc,,sec_8k_2.02
MSFT,2019-01-30 16:03:36,amc,,sec_8k_2.02
META,2019-01-30 16:16:27,amc,,sec_8k_2.02
AMZN,2019-01-31 16:30:02,amc,,sec_8k_2.02
CVX,2019-02-01 09:00:23,bmo,,sec_8k_2.02
GOOGL,2019-02-04 16:01:19,amc,,sec_8k_2.02
CSCO,2019-02-13 16:10:03,amc,,sec_8k_2.02
KO,2019-02-14 07:03:02,bmo,,sec_8k_2.02
NVDA,2019-02-14 16:23:06,amc,,sec_8k_2.02
WMT,2019-02-19 07:00:10,bmo,,sec_8k_2.02
HD,2019-02-26 06:14:10,bmo,,sec_8k_2.02
ORCL,2019-03-14 16:08:23,amc,,sec_8k_2.02
JPM,2019-04-12 06:46:08,bmo,,sec_8k_2.02
GS,2019-04-15 07:29:43,bmo,,sec_8k_2.02
BAC,2019-04-16 06:45:07,bmo,,sec_8k_2.02
JNJ,2019-04-16 07:52:00,bmo,,sec_8k_2.02
KO,2019-04-23 07:03:00,bmo,,sec_8k_2.02
PG,2019-04-23 07:05:37,bmo,,sec_8k_2.02
MSFT,2019-04-24 16:04:03,amc,,sec_8k_2.02
META,2019-04-24 16:09:20,amc,,sec_8k_2.02
INTC,2019-04-25 12:05:00,intraday,,sec_8k_2.02
AMZN,2019-04-25 16:10:54,amc,,sec_8k_2.02
CVX,2019-04-26 09:01:24,bmo,,sec_8k_2.02
GOOGL,2019-04-29 16:01:22,amc,,sec_8k_2.02
PFE,2019-04-30 08:58:02,bmo,,sec_8k_2.02
AAPL,2019-04-30 16:30:16,amc,,sec_8k_2.02
CSCO,2019-05-15 16:09:33,amc,,sec_8k_2.02
WMT,2019-05-16 07:00:41,bmo,,sec_8k_2.02
NVDA,2019-05-16 16:22:47,amc,,sec_8k_2.02
HD,2019-05-21 06:08:19,bmo,,sec_8k_2.02
ORCL,2019-06-19 16:23:47,amc,,sec_8k_2.02
JPM,2019-07-16 06:45:52,bmo,,sec_8k_2.02
GS,2019-07-16 07:30:00,bmo,,sec_8k_2.02
JNJ,2019-07-16 08:00:32,bmo,,sec_8k_2.02
BAC,2019-07-17 06:46:09,bmo,,sec_8k_2.02
MSFT,2019-07-18 16:03:33,amc,,sec_8k_2.02
KO,2019-07-23 06:58:22,bmo,,sec_8k_2.02
META,2019-07-24 16:27:15,amc,,sec_8k_2.02
INTC,2019-07-25 12:10:16,intraday,,sec_8k_2.02
GOOGL,2019-07-25 16:01:22,amc,,sec_8k_2.02
AMZN,2019-07-25 16:33:27,amc,,sec_8k_2.02
PFE,2019-07-29 08:41:39,bmo,,sec_8k_2.02
PG,2019-07-30 07:06:04,bmo,,sec_8k_2.02
AAPL,2019-07-30 16:30:36,amc,,sec_8k_2.02
CVX,2019-08-02 09:00:57,bmo,,sec_8k_2.02
CSCO,2019-08-14 16:08:03,amc,,sec_8k_2.02
